Telephone sites
79.83 190.90
298.25 112.22
104.1 52.69
145.66 265.16
252.61 137.66
119.89 184.49
150.37 258.74
11.71 239.93
28.83 87.16
287.25 292.81
219.75 186.87
87.29 84.21
263.8 217.1
202.84 154.86
218.5 79.71
118.28 99.75
76.34 83.42
102.22 42.18
150.86 206.98
157.16 260.34
60.97 44.10
78.42 91.17
297.38 32.26
280.18 48.65
21.80 275.14
137.22 131.49
156.59 280.97
249.31 236.11
176.42 163.15
115.6 25.5
201.12 115.88
16.72 41.47
160.1 154.25
201.16 278.85
162.53 271.30
68.2 44.31
233.94 185.50
24.79 103.47
128.7 128.60
88.10 215.68
45.86 285.50
279.16 123.3
249.36 147.50
231.9 129.12
216.41 154.60
63.88 86.67
107.12 138.20
95.77 93.73
92.25 163.42
93.58 223.10
