Telephone sites
266.52 192.71
26.43 263.31
36.13 233.38
446.24 366.83
263.38 391.34
218.53 56.43
24.1 220.92
209.94 91.23
149.90 410.47
302.22 315.28
213.45 18.37
424.30 196.9
226.25 180.33
478.23 130.32
237.65 411.17
70.66 92.69
363.49 7.48
20.50 288.36
132.36 312.51
198.50 107.1
126.86 390.93
76.33 16.29
396.81 209.49
104.61 424.61
417.65 48.13
373.65 313.36
5.14 261.7
266.65 450.15
149.75 93.74
390.16 123.74
473.12 310.88
179.1 59.66
143.51 236.91
261.25 39.99
100.80 181.46
367.73 390.2
308.26 422.48
110.55 374.38
68.26 115.82
407.0 55.53
2.89 240.46
60.77 165.98
81.36 253.56
484.36 77.79
243.39 17.34
334.94 245.26
337.67 424.90
376.24 223.54
312.1 98.22
390.57 444.65
132.28 128.73
43.61 479.57
186.88 112.69
400.61 229.2
332.11 436.89
382.99 189.60
450.46 282.42
79.89 143.64
404.3 90.8
478.84 383.45
461.18 149.33
126.40 405.29
196.11 19.34
197.32 329.64
456.24 431.11
163.18 351.58
35.49 360.26
434.93 325.51
252.50 468.17
338.8 334.68
399.58 210.58
373.60 375.54
425.3 85.13
226.78 135.36
92.59 290.3
32.0 126.11
371.3 76.34
37.92 395.7
72.12 480.13
98.69 272.13
315.28 453.79
488.95 187.22
466.63 399.58
366.70 425.56
418.41 114.68
468.75 253.66
134.73 433.59
375.37 52.58
173.10 446.22
448.12 412.99
143.63 179.28
45.58 379.19
388.96 461.90
385.64 391.96
367.13 343.39
382.95 30.1
211.4 305.66
84.61 301.16
465.70 451.96
81.40 195.92
