0 Telephone sites
Found one that it didn't like *********** 0 Telephone sites
0 277.809452 1539.677212
1 267.033666 980.545283
2 543.693647 1179.845411
3 129.724864 1517.849147
4 1299.505292 1167.527258
5 1245.609181 811.264005
6 1702.848770 800.352764
7 123.938302 108.070845
8 1670.561231 1881.739917
9 1723.588780 57.439111
10 1585.895664 1782.613977
11 1373.915093 1795.431678
12 1981.046346 1734.539567
13 657.090067 1910.377257
14 483.814480 219.859830
15 580.966479 1923.338756
16 224.786281 1303.196104
17 537.526289 1436.988458
18 1755.042870 1747.401986
19 687.192506 1316.170285
20 983.662893 647.467695
21 1770.750857 1404.980324
22 1108.764377 1454.193557
23 221.474774 889.004592
24 1661.646998 331.155257
25 431.301348 763.421406
26 1452.661819 1611.317957
27 767.712203 1845.526948
28 1827.040616 549.033716
29 1583.594200 409.509443
30 318.842864 1482.018799
31 1932.934893 499.763533
32 1682.494095 346.406331
33 451.210888 882.219270
34 1795.583831 113.749695
35 884.919672 1885.917740
36 58.963946 1721.685309
37 676.356642 973.012290
38 1474.397365 142.574223
39 814.603015 808.708934
40 1057.143265 1222.285229
41 750.425616 1929.332562
42 811.190191 1916.523542
43 1731.781303 732.050706
44 12.840324 14.114919
45 796.721396 1135.729777
46 701.729215 373.217552
47 168.635191 1702.544134
48 902.579190 1279.002738
49 1705.840254 1449.950177
50 1812.850668 137.691511
51 567.736063 926.005730
52 872.216700 358.352964
53 1834.603075 432.741853
54 1612.308252 905.340451
55 1453.087382 617.040497
56 1696.546679 1683.986660
57 308.084758 203.536182
58 610.436578 976.402252
59 242.374645 654.453533
60 1108.372143 1800.006330
61 918.112827 331.047129
62 1991.099451 611.342178
63 1031.254228 1391.279406
64 567.088071 307.298217
65 1772.410177 309.603489
66 8.226976 14.675081
67 1257.152666 1333.450922
68 1321.400650 617.654356
69 1581.175960 1682.022698
70 1040.478427 822.915240
71 143.168310 1206.744318
72 1873.693815 769.763831
73 236.230373 1148.118130
74 773.337811 1549.739577
75 1218.069150 1194.362669
76 113.999809 1240.312878
77 170.229566 978.916704
78 1598.227356 1176.597508
79 198.972673 1387.843352
80 1447.710363 1546.491222
81 1424.752725 1311.855994
82 858.803897 1027.620658
83 651.009712 1004.598398
84 711.789956 1784.215277
85 284.720477 328.311976
86 1146.501700 1117.977868
87 269.191207 1322.626762
88 6.257446 13.315613
89 1514.491221 1760.075938
90 1190.406735 1532.155894
91 1101.911251 1469.689145
92 1061.340534 1761.577290
93 945.911571 1467.638877
94 734.750317 1221.614003
95 1599.742061 1463.024710
96 1391.914278 660.170957
97 1978.300347 1490.188033
98 -4.418486 13.553838
99 777.762658 664.023566
100 1633.572367 1744.990561
101 1521.840859 1750.095547
102 765.907979 1266.399685
103 1931.101288 1243.563162
104 1771.286085 1414.683493
105 911.638963 1070.625362
106 770.500355 1577.362613
107 288.066229 454.461312
108 1088.789399 1100.073151
109 635.431996 1799.488686
110 1651.459362 464.277246
111 1624.270953 1745.432049
112 518.124915 1052.676086
113 498.763579 1172.860899
114 195.661270 55.280804
115 683.214576 989.208451
116 945.122641 1807.656260
117 914.939704 58.946815
118 1259.557739 1065.850642
119 102.660191 448.667658
120 1978.617437 1505.659769
121 1306.654741 1595.441880
122 1410.144279 1260.097775
123 374.933001 1244.565383
124 1271.115867 1746.448359
125 1772.667856 1177.291050
126 894.410586 676.819188
127 62.143759 209.323381
128 736.951531 490.787922
129 453.901319 1077.019911
130 1096.233341 1612.619733
131 -1.115385 19.847371
132 11.789970 -4.741727
133 4.734117 23.884991
134 1302.000339 260.549917
135 1210.595945 977.980126
136 1108.277551 800.874362
137 1348.228118 280.905054
138 1358.751086 111.246446
139 266.709178 1237.206095
140 402.668592 1180.000563
141 1630.935549 1755.454938
142 1893.828309 317.680124
143 1038.061651 1606.520877
144 163.627217 1190.996667
145 1559.874174 847.712071
146 637.350926 1000.495037
147 389.530491 194.713028
148 406.413512 1539.634817
149 1087.478514 804.841677
150 1466.487902 1071.489577
151 1570.604740 1494.687369
152 409.885432 1031.149277
153 142.154842 1433.016528
154 625.423767 1145.687322
155 1975.915274 741.819541
156 1275.745962 1380.717657
157 520.431012 359.185307
158 1044.999466 1196.275834
159 1230.009664 1282.911026
160 991.404201 1339.609873
161 718.186828 99.740524
162 1510.024024 228.303176
163 1077.664438 318.333808
164 1912.267123 981.629910
165 1181.134753 1294.254414
166 1531.978945 310.428058
167 1343.938666 1306.982584
168 51.510592 1844.063542
169 1201.798273 1752.761553
170 1061.716663 780.984172
171 1766.212698 1592.000795
172 1960.016968 809.727326
173 185.853967 91.586990
174 1152.376745 1566.693361
175 732.051041 1084.433989
176 840.656711 1440.236566
177 1015.344585 1620.245176
178 1414.191573 1149.497638
179 1553.201400 397.511546
180 337.859380 1907.621673
181 1394.735931 758.685788
182 1300.814103 755.777380
183 278.710104 574.870386
184 729.681134 592.508230
185 1962.581342 1366.099063
186 1533.132815 1929.534664
187 1632.956032 117.954188
188 1169.017014 437.196257
189 1745.243656 1853.197418
190 1888.376861 525.393710
191 1791.968204 1536.922825
192 94.187367 983.791351
193 1723.405346 803.213051
194 1670.780388 1263.511383
195 1261.776820 181.962434
196 777.880309 1676.767357
197 1288.211589 703.620435
198 1938.725131 1836.511707
199 1576.617088 1326.097146
200 1543.328348 1843.427037
201 154.471141 169.229163
202 1133.531647 814.486564
203 1849.653399 375.696580
204 1471.953988 897.275870
205 773.120430 101.483559
206 1174.671519 519.085666
207 1903.046906 360.393278
208 602.216010 1360.730415
209 1122.679122 1974.966762
210 1028.928404 298.211585
211 1733.146047 266.016211
212 1291.960007 115.259712
213 1815.129792 1922.995146
214 369.850652 1408.679810
215 461.381243 1057.078934
216 23.149022 16.901139
217 1357.898386 1057.310921
218 1746.433328 1899.244525
219 992.577088 903.348607
220 1611.371463 1298.694111
221 1101.698976 1449.963515
222 1649.113106 745.587979
223 141.148860 780.588847
224 1247.531040 267.586746
225 1204.652023 799.231058
226 1749.102357 1699.735603
227 702.418672 1662.618964
228 1348.356747 539.096811
